排序,绰号,姓名,微信名/Github,天罡地煞,备注
1,及时雨/呼保义,宋江,澜沧江菜鸟,天魁星,
2,玉麒麟,卢俊义,,天罡星,
3,吴学究/智多星,吴用,Harry,天机星,
4,一清道人/入云龙,公孙胜,Bob Jiang,天闲星,
5,大刀,关胜,,天勇星,
6,豹子头,林冲,,天雄星,
7,霹雳火,秦明,,天猛星,
8,双鞭,呼延灼,,天威星,
9,小李广,花荣,Loverush,天英星,
10,小旋风,柴进,,天贵星,
11,扑天雕,李应,,天富星,
12,美髯公,朱仝,,天满星,
13,花和尚,鲁智深,三火-maroonstar,天孤星,
14,行者,武松,ripwu,天伤星,
15,双鎗将,董平,,天立星,
16,没羽箭,张清,,天捷星,
17,青面兽,杨志,丹丹的小船-yingjingyang,天暗星,
18,金鎗手,徐宁,,天佑星,
19,急先锋,索超,,天空星,
20,神行太保,戴宗,,天速星,
21,赤髪鬼,刘唐,,天异星,
22,铁牛/黑旋风,李逵,Survivor,天杀星,
23,九纹龙,史进,,天微星,
24,没遮拦,穆弘,,天究星,
25,挿翅虎,雷横,,天退星,
26,混江龙,李俊,PR Ye,天寿星,
27,立地太岁,阮小二,,天剑星,
28,船火儿,张横,,天平星,
29,短命二郎,阮小五,,天罪星,
30,浪里白条,张顺,,天损星,
31,活阎罗,阮小七,,天败星,
32,病关索,杨雄,,天牢星,
33,拚命三郎,石秀,,天慧星,
34,两头蛇,解珍,,天暴星,
35,双尾蝎,解宝,,天哭星,
36,浪子,燕青,彦-liberhe,天巧星,
37,神机军师,朱武,,地魁星,
38,镇三山,黄信,,地煞星,
39,病尉迟,孙立,,地勇星,
40,丑郡马,宣赞,,地杰星,
41,井木犴,郝思文,,地雄星,
42,百胜将,韩滔,,地威星,
43,天目将,彭玘,,地英星,
44,圣水将,单廷珪,,地奇星,
45,神火将,魏定国,,地猛星,
46,圣手书生,萧让,,地文星,
47,铁面孔目,裴宣,,地正星,
48,摩云金翅,欧鹏,,地辟星,
49,火眼狻猊,邓飞,,地阖星,
50,锦毛虎,燕顺,,地强星,
51,锦豹子,杨林,,地暗星,
52,轰天雷,凌振,,地轴星,
53,神算子,蒋敬,,地会星,
54,小温侯,吕方,,地佐星,
55,赛仁贵,郭盛,,地佑星,
56,神医,安道全,,地灵星,
57,紫髯伯,皇甫端,,地兽星,
58,矮脚虎,王英,,地微星,
59,一丈青,扈三娘,谢泡泡儿kelly,地慧星,
60,丧门神,鲍旭,,地暴星,
61,混世魔王,樊瑞,,地然星,
62,毛头星,孔明,,地猖星,
63,独火星,孔亮,,地狂星,
64,八臂哪咤,项充,,地飞星,
65,飞天大圣,李衮,,地走星,
66,玉臂匠,金大坚,,地巧星,
67,铁笛仙,马麟,,地明星,
68,出洞蛟,童威,,地进星,
69,翻江蜃,童猛,,地退星,
70,玉旛竿,孟康,,地満星,
71,通臂猿,侯健,,地遂星,
72,跳涧虎,陈达,,地周星,
73,白花蛇,杨春,,地隐星,
74,白面郎君,郑天寿,,地异星,
75,九尾龟,陶宗旺,,地理星,
76,铁扇子,宋清,,地俊星,
77,铁叫子,乐和,,地乐星,
78,花项虎,龚旺,,地捷星,
79,中箭虎,丁得孙,,地速星,
80,小遮拦,穆春,,地镇星,
81,操刀鬼,曹正,,地羁星,
82,云里金刚,宋万,,地魔星,
83,摸着天,杜迁,,地妖星,
84,病大虫,薛永,,地幽星,
85,金眼彪,施恩,,地伏星,
86,打虎将,李忠,,地僻星,
87,小霸王,周通,,地空星,
88,金钱豹子,汤隆,,地孤星,
89,鬼脸儿,杜兴,,地全星,
90,出林龙,邹渊,,地短星,
91,独角龙,邹润,,地角星,
92,旱地忽律,朱贵,,地囚星,
93,笑面虎,朱富,,地藏星,
94,铁臂膊,蔡福,,地平星,
95,一枝花,蔡庆,qijin,地损星,
96,催命判官,李立,,地奴星,
97,青眼虎,李云,,地察星,
98,没面目,焦挺,,地恶星,
99,石将军,石勇,,地丑星,
100,小尉迟,孙新,,地数星,
101,母大虫,顾大嫂,,地阴星,
102,菜园子,张青,,地刑星,
103,母夜叉,孙二娘,,地壮星,
104,活闪婆,王定六,,地劣星,
105,险道神,郁保四,,地健星,
106,白日鼠,白胜,,地耗星,
107,鼓上蚤,时迁,,地贼星,
108,金毛犬,段景住,,地狗星,
